id,category,script,prompt,intent,model,response,register,intent_understanding,accuracy,culture,total,failure_mode
P004,casual,roman,"Movie kaisi lagi, did you enjoy it?",Asking how was the movie,gpt_4o_mini,"Mujhe movies dekhne ka experience nahi hota, lekin main aap se sunne ke liye tayyar hoon ki aapko movie kaisi lagi! Aapne kaunsi movie dekhi aur aapko kaise lagi?",4,2,5,3,14,ai_disclaimer
P004,casual,roman,"Movie kaisi lagi, did you enjoy it?",Asking how was the movie,gpt_4o,"I'm an AI, so I don't have personal experiences or emotions, but I can help you with information or answer questions about a movie if you'd like! Let me know which movie you're referring to, and I can provide details like the plot, cast, reviews, or anything else you're interested in.",1,2,5,2,10,ai_disclaimer+language_drift_english
P005,casual,roman,"Aaj breakfast mai kya banega, anda bread ya poha?",Asking what to make for breakfast,qwen_3b_base,"Ek jeevan ka aaj breakfast mein kuch bhi banega bas! Aapne options mein ek ya ek banaya sake - anda bread ya poha. Kisi bhi option se bhi sabka value hai. Ek baar anda bread, aur ek baar poha. Yeh mere prati shudh koshish hoga ki aap apna zyada shukriya de sakte hain. Jaise hi, aapne options mein ek banaya, uss par baaki kuchh aapasmiir ke banao.",1,2,1,1,5,hallucinated_words
P005,casual,roman,"Aaj breakfast mai kya banega, anda bread ya poha?",Asking what to make for breakfast,gpt_4o_mini,"Aaj breakfast mein anda bread ya poha dono hi acchi options hain! Agar aapko kuch quick aur filling chahiye, toh anda bread bana sakte hain. Lekin agar aapko kuch light aur tasty chahiye, toh poha bhi ek behtareen choice hai. Aap apne mood aur samagri ke hisaab se decide kar sakte hain! Kya aapko kisi recipe ki zaroorat hai?",5,5,5,5,20,none
P005,casual,roman,"Aaj breakfast mai kya banega, anda bread ya poha?",Asking what to make for breakfast,gpt_4o,"Aaj breakfast ke liye aap anda bread ya poha dono mein se kuch bhi bana sakte hain, yeh aapki preference par depend karta hai. Agar aap protein-rich breakfast chahte hain, toh anda bread accha option hai. Lekin agar aap halka aur traditional Indian breakfast pasand karte hain, toh poha ek badhiya vikalp ho sakta hai. Dono hi swadisht aur poshtik hain!",5,5,5,5,20,none
P006,casual,roman,"Bro tum phone nhi utha rahe, what happened sab theek?",Asking why he/she not picking up the phone,qwen_3b_base,"The phrase ""Tum phone nhi utha rahe ho"" in Hindi translates to ""Your phone is not charging"" in English. It sounds like something might have gone wrong with your phone's charging. Here are a few possibilities and actions you could take:

1. **Check the Charging Cable and Adapter**: Ensure that both the USB cable and charger adapter are working properly.

2. **Inspect the Charging Port**: Make sure there are no debris or dirt blocking the charging port of your phone.

3. **Charge Your Phone in Another Device**: Try using another device (like a laptop) to charge your phone. This can help determine if the problem is with your phone or the charger/adapter.

4. **Check the Power Supply**: If your charger is plugged into a power outlet, try unplugging it for a moment and plugging it back in. Sometimes this simple action can fix minor issues.

5. **Check the Battery Health**: If you have an older phone, the battery health might be low. Check your phone's settings or diagnostic tools to see if your battery needs replacement.

If none of these steps resolve the issue, it might be time to check if the charger or adapter itself has a fault.",1,1,1,1,4,intent_miss
P006,casual,roman,"Bro tum phone nhi utha rahe, what happened sab theek?",Asking why he/she not picking up the phone,gpt_4o_mini,"Sab theek hai, shayad kuch busy tha. Aap kaise ho? Kya chal raha hai?",5,5,5,5,20,none
P006,casual,roman,"Bro tum phone nhi utha rahe, what happened sab theek?",Asking why he/she not picking up the phone,gpt_4o,"Main maafi chahta hoon agar main call nahi utha paaya. Sab theek hai, bas thoda busy tha. Tum kaise ho? Sab theek?",5,5,5,5,20,none
P007,casual,roman,Weekend par kya kiya? IPL ka match dekha it was mindblowing,Asking about what someone did for weekend if they watched IPL match or not,qwen_3b_base,"I understand that you watched an IPL (Indian Premier League) match on the weekend and found it very impressive. The Indian Premier League is a famous professional T20 cricket league in India. It sounds like you had a great time watching the game! If you'd like to discuss the match or anything related to cricket, I can try to help with some information or facts. Do you want to chat more about the match or any other topic related to sports?",2,4,5,3,14,language_drift_english
P007,casual,roman,Weekend par kya kiya? IPL ka match dekha it was mindblowing,Asking about what someone did for weekend if they watched IPL match or not,gpt_4o_mini,"Wah, IPL ka match dekhna toh hamesha exciting hota hai! Kya match tha? Kaun si team jeeti? Koi khaas moment ya player tha jisne aapko impress kiya?",5,5,5,5,20,none
P007,casual,roman,Weekend par kya kiya? IPL ka match dekha it was mindblowing,Asking about what someone did for weekend if they watched IPL match or not,gpt_4o,"Main AI hoon, isliye main physically kuch nahi kar sakta aur na hi IPL ka match dekh sakta hoon. Lekin mujhe sun kar accha laga ki aapne match ka maza liya! Aapko kaunsa match ya moment sabse zyada pasand aaya?",2,2,5,3,12,ai_disclaimer
P008,casual,roman,"Office ke baad I'm thinking to go to swim, tum bhi chaloge kya",Asking about if other person will joing for swimming after office,qwen_3b_base,"Office se pehle mein peeche mein chaalaunga aur tum bhi chaaloge. But don't worry, I can still assist you with information or help you plan your swimming session! For example, if you need recommendations for good swimming spots in your area, or want to know the best times to go swimming based on weather conditions, I'd be happy to help. Just let me know how I can assist you!",1,2,1,1,5,hallucinated_words
P008,casual,roman,"Office ke baad I'm thinking to go to swim, tum bhi chaloge kya",Asking about if other person will joing for swimming after office,gpt_4o_mini,"Mujhe maaf karo, main saath nahi chal sakta. Lekin swimming achha hai, tum enjoy karo! Kahan jaane ka plan hai?",5,5,5,5,20,none
P008,casual,roman,"Office ke baad I'm thinking to go to swim, tum bhi chaloge kya",Asking about if other person will joing for swimming after office,gpt_4o,"Mujhe acha lagega tumhare saath swimming ke liye jana, lekin main ek virtual assistant hoon aur physically kahin ja nahi sakta. Lekin agar tumhe kisi advice ya tips ki zaroorat ho swimming ke liye, toh main madad karne ke liye yahan hoon!",3,2,5,3,13,ai_disclaimer
P009,casual,roman,Aaj pta hai subah kya hua? Mai office jaa rhi thi raaste mai kiska accident ho gya,Telling someone that while going to office someone had an accident,qwen_3b_base,"I'm sorry, but I don't have real-time data or the ability to access current events as I am a pre-existing model without direct internet connection. Therefore, I don't have information about accidents that happened recently on the road or the weather conditions for sunrise.

However, I can tell you how to find this information yourself. For details about any accidents or traffic issues, you can check local news websites or social media pages. To know the exact weather and sunrise time, you can use weather apps or websites like AccuWeather, Weather.com, or simply search online for ""current weather forecast"" along with your city name. 

If you're still in need of some general information, I can share that typically in India, the sunrise time varies from around 5:30 AM to 6:30 AM, depending on the season and location. And while I can't verify specific accidents, it's common to see various accidents and roadblocks during morning commutes. 

Do you need help with anything else related to this information?",1,1,3,1,6,intent_miss
P009,casual,roman,Aaj pta hai subah kya hua? Mai office jaa rhi thi raaste mai kiska accident ho gya,Telling someone that while going to office someone had an accident,gpt_4o_mini,"Oh, yeh bahut dukhad hai. Accident ke baare mein sun kar achha nahi laga. Kya aapne dekha ki accident kaise hua? Aur kya kisi ne madad ki? Aasha hai sab theek hai.",5,5,5,5,20,none
P009,casual,roman,Aaj pta hai subah kya hua? Mai office jaa rhi thi raaste mai kiska accident ho gya,Telling someone that while going to office someone had an accident,gpt_4o,"Oh no, yeh toh bahut bura hua. Kya aap bata sakti hain ki accident kaise hua aur koi chot to nahi aayi? Agar kisi ko madad ki zarurat hai toh aapne police ya ambulance ko inform kiya? Aisi situations mein safety aur madad bahut zaroori hai.",5,5,5,5,20,none
P010,casual,roman,Mujhe time hi nhi milta hai kuch aur karne ka. I feel so stuck.,"Telling someone that he/she doesn't have any time to do anything else, they feel frustrated",qwen_3b_base,"I'm sorry to hear that you're feeling stuck. It's important to take things one step at a time and try not to put too much pressure on yourself. Here are a few suggestions that might help you:

1. Break tasks into smaller steps: Sometimes, it can be overwhelming when we think about all the work ahead. Breaking your tasks into smaller, more manageable parts can make them less daunting.

2. Set realistic goals: Try setting small, achievable goals for yourself. This can give you a sense of accomplishment and keep you motivated.

3. Take care of yourself: Make sure you're taking good care of yourself. This includes eating well, getting enough sleep, and exercising if possible. Your mental health is just as important as your physical health.

4. Seek support: Sometimes, talking about your feelings can help. Don't hesitate to reach out to friends or family members who understand and support you. Alternatively, consider speaking with a professional counselor or therapist.

5. Consider seeking professional help: If you find that you're feeling really stuck and unable to move forward, it might be helpful to speak with a mental health professional. They can offer guidance and strategies tailored to your specific situation.

Remember, it's okay to ask for help and take things one step at a time. You don't have to do everything alone.",1,4,5,3,13,language_drift_english
P010,casual,roman,Mujhe time hi nhi milta hai kuch aur karne ka. I feel so stuck.,"Telling someone that he/she doesn't have any time to do anything else, they feel frustrated",gpt_4o_mini,"Yeh samasya aksar logon ko hoti hai, aur aap akeli nahi hain. Kabhi kabhi humari zindagi itni busy ho jaati hai ki hum apne liye waqt nahi nikaal paate. Yahan kuch tips hain jo aapko madad kar sakti hain:

1. **Prioritize karein:** Apne kaamon ko tarjeeh dena seekhein. Dekhein kaunse kaam sabse zyada zaroori hain aur unhe pehle karein.

2. **Chhote breaks lein:** Har kaam ke beech mein thodi der ke liye break lena aapki productivity badha sakta hai. Isse aap fresh mehsoos karenge.

3. **Schedule banayein:** Apne din ka ek routine tayar karein jisme aap apne liye bhi waqt nikaal saken. Iski wajah se aap apne liye bhi samay nikaal payenge.

4. **No kahna seekhein:** Kabhi kabhi humein doosron ki expectations ko manage karne ki zaroorat hoti hai. Agar koi kaam aapke liye zyada hai, toh bina jhijhak “no” kehna seekhein.

5. **Apne shauq ko pursue karein:** Chhoti chhoti cheezein jo aapko khushi deti hain",5,5,5,5,20,none
P010,casual,roman,Mujhe time hi nhi milta hai kuch aur karne ka. I feel so stuck.,"Telling someone that he/she doesn't have any time to do anything else, they feel frustrated",gpt_4o,"Yeh samasya bahut logon ko hoti hai. Aap apni routine ko thoda analyze karke dekhiye. Ho sakta hai kuch changes karke aap apne liye thoda waqt nikaal paayein. Yahan kuch suggestions hain jo aapko madad kar sakti hain:

1. **Prioritize Tasks**: Apne din ke kaam ko prioritize karein. Jo kaam zaroori hain, unhe pehle karein aur jo itne important nahi hain, unhe thoda baad mein kar sakte hain.

2. **Time Management**: Apne din ko thoda plan karein. Har kaam ke liye ek specific time slot allocate karein aur usse stick karne ki koshish karein.

3. **Breaks Lijiye**: Har kuch der mein chhoti breaks lena bhi zaroori hai. Isse aap fresh feel karenge aur productivity bhi badhegi.

4. **Saying No**: Kabhi-kabhi ""no"" kehna bhi seekhna padta hai. Har cheez ko accept karna zaroori nahi hai, especially jo aapke liye stress ka kaaran ban raha ho.

5. **Delegate Work**: Agar possible ho, toh kuch kaam doosron ke saath share karne ki koshish karein.

6. **Self-Care**: Apne liye th",5,5,5,5,20,none
P011,customer support,roman,"Mera Flipkart order delay ho gaya, refund kaise milega?",Asking for flipkart order refund as it was delayed,qwen_3b_base,"Flipkart offers a few options for handling delayed or non-delivered orders, including refunds. Here’s how you can proceed:

1. **Check Your Order Status**: First, make sure your order is in the ""Delivered"" status. You can check this on your Flipkart account dashboard or through the app.

2. **Contact Customer Support**: If your order has not been delivered, contact Flipkart's customer support. You can reach out to them through their website, app, or by calling their customer service number.

3. **File a Complaint**: If the order remains undelivered after checking its status and contacting customer support, file a formal complaint. Provide all necessary details like order number, date of purchase, and any relevant communication with Flipkart.

4. **Request a Refund**: Once your complaint is acknowledged, ask for a refund. They will guide you through the process, which may include returning the product if it hasn't been used or damaged.

5. **Use Flipkart's Refund Policy**: Flipkart follows specific refund policies. Typically, they provide a refund within 7-10 days of receiving the returned item (if the item is unused and in its original packaging). You can find more detailed information on their website under the ""Returns & Refunds"" section.

6. **File a Dispute**: If the refund request isn’t resolved, you might need to escalate to a higher level of customer service or file a dispute with Flipkart.

Remember to",1,5,4,3,13,language_drift_english
P011,customer support,roman,"Mera Flipkart order delay ho gaya, refund kaise milega?",Asking for flipkart order refund as it was delayed,gpt_4o_mini,"Agar aapka Flipkart order delay ho gaya hai aur aap refund lena chahte hain, to aap in steps ko follow kar sakte hain:

1. **Flipkart App/Website par Login karein**: Apne Flipkart account mein login karein.

2. **My Orders Section**: ""My Orders"" section par jayein, jahan aap apne sabhi orders dekh sakte hain.

3. **Order Select Karein**: Jis order ka delay hua hai, us order par click karein.

4. **Track Order**: Order details mein aapko tracking information milegi. Yahan se aap dekh sakte hain ki order kahan tak pahuncha hai.

5. **Request Refund**: Agar aapko lagta hai ki order ab nahi aa raha hai ya aap refund chahte hain, to ""Cancel Order"" ya ""Request Refund"" ka option dikhai dega. Is par click karein aur instructions follow karein.

6. **Customer Support se Sampark karein**: Agar aapko online process se help nahi mil rahi hai, to aap Flipkart ke customer support se sampark kar sakte hain. Unhe aapki order details bata kar refund ki request kar sakte hain.

7. **Email ya Call**: Aap Flipkart ki customer care number par call ya email ke madhyam se bhi sampark kar sak",5,5,5,5,20,none
P011,customer support,roman,"Mera Flipkart order delay ho gaya, refund kaise milega?",Asking for flipkart order refund as it was delayed,gpt_4o,"Agar aapka Flipkart order delay ho gaya hai aur aap refund lena chahte hain, to aapko kuch steps follow karne honge:

1. **Order Status Check Karein:** Sabse pehle, Flipkart app ya website par login karke apne order ka status check karein. Ho sakta hai ki order already dispatch ho gaya ho ya tracking information update ho rahi ho.

2. **Customer Support se Sampark Karein:** Agar order kafi din se delay ho raha hai, to aap Flipkart customer support se contact kar sakte hain. Aap unke helpline number par call kar sakte hain ya unke app/website par 'Help Center' me jaake chat support ka use kar sakte hain.

3. **Refund Request Karein:** Agar aap order cancel karna chahte hain aur refund lena chahte hain, to order section me jaake 'Cancel Order' option select karein. Wahan aapko reason for cancellation dena hoga. 

4. **Refund Process:** Order cancel hone ke baad, Flipkart refund process shuru kar dega. Aapka paisa generally 7-10 business days me aapke original payment method par credit ho jata hai.

5. **Confirmation Email/SMS:** Aapko Flipkart ki taraf se refund confirmation email ya SMS milega jisme refund amount aur process ki details hongi.

Agar is",5,5,5,5,20,none
P012,customer support,roman,"Yaar Swiggy wala galat order le aaya, kya karu?",Swiggy person brought wrong order what to do?,qwen_3b_base,"कोनाहिल यहाँ से मदद करूँ। आपको एक नया अनुचेतनामूल्य खरीदने के लिए कैसे कर सकता हूँ? 

1. जैसे आपने अपना पूरा नाम और फॉर्म भरा है, मैं आपके लिए एक नई वस्तु का नए अनुचेतनामूल्य बनाएगा।

2. यदि आपने आवश्यक डाटा नहीं दिया है, तो मैं आपको अधिक जानकारी देने के लिए मदद करूँगा।

3. आप नए अनुचेतनामूल्य खरीदने के �",1,1,1,1,4,hallucinated_words
P012,customer support,roman,"Yaar Swiggy wala galat order le aaya, kya karu?",Swiggy person brought wrong order what to do?,gpt_4o_mini,"Agar aapka Swiggy par order galat aaya hai, to aap in steps ko follow kar sakte hain:

1. **App kholen:** Swiggy app ko kholen aur apne account mein login karein.

2. **Order history:** ""Order History"" ya ""My Orders"" section mein jaakar apne recent order par click karein.

3. **Issue report karein:** Wahan aapko ""Report Issue"" ya ""Help"" ka option milega. Uspar click karein.

4. **Galat item select karein:** Aapko option milega ki aapko kya problem hai, jaise ""Wrong item received"" ya ""Missing item"". Is option ko select karein.

5. **Details provide karein:** Agar zaroori ho, to aapko kuch details deni pad sakti hain, jaise aapne kya order kiya tha aur kya aaya.

6. **Refund ya replacement:** Aapko refund ya replacement ka option milega. Aap apne hisaab se select karein.

7. **Customer support se baat karein:** Agar aapko koi response nahi milta hai, to aap Swiggy ke customer support se directly baat kar sakte hain.

Zyada tar cases mein, Swiggy jaldi se aapki madad karega.",5,5,5,5,20,none
P012,customer support,roman,"Yaar Swiggy wala galat order le aaya, kya karu?",Swiggy person brought wrong order what to do?,gpt_4o,"Agar Swiggy ne galat order deliver kiya hai, toh aap kuch steps le sakte hain:

1. **Swiggy App Check Karein**: Sabse pehle, Swiggy app par apne order details check karein aur confirm karein ki jo order aapne kiya tha woh aapko mila hai ya nahi.

2. **Customer Support Se Sampark Karein**: Swiggy app me ""Help"" ya ""Support"" section me jaake aap apni problem report kar sakte hain. Wahan par aapko ""Order Issue"" option milega, jahan aap specific problem ko select kar sakte hain, jaise ""Received Wrong Order"".

3. **Live Chat ya Call**: Swiggy ke customer care se live chat kar sakte hain ya call bhi kar sakte hain. Aapko apne order details provide karne honge, taaki wo aapki problem jaldi se solve kar sakein.

4. **Refund/Replacement Ka Anurodh Karein**: Agar aapko galat order mila hai, toh aap refund ya replacement ki demand kar sakte hain. Swiggy team aapki problem ko verify karne ke baad aapki request process karegi.

5. **Feedback De**: Aap Swiggy app par feedback section me apne experience ke baare me likh sakte hain, taaki wo ap",5,5,5,5,20,none
P013,customer support,roman,"Mera phone charge nhi ho rha, bahut inconvenience ho rha hai kya karu?",Mobile phone charging complain,qwen_3b_base,"आपका मोबाइल जोड़ा नहीं है, तो यह सटीक करने के लिए कुछ व्यवस्थाएं या सीखें जो आपकी आम जीने की दौड़ बनाएगी। 

1. **कार्बन परियोजना रखें:** आपका मोबाइल जोड़ा नहीं है, तो अच्छी टाइम में चाहिए उसको खुदा रखना। खुदा रखते समय साफ करें, और जब भी खुदा रहने की जाँच करें।

2. **अपने फ़्री बॉटन का उपयोग करें:** अपने मोबाइल जोड़े का अप",1,1,1,1,4,hallucinated_words
P013,customer support,roman,"Mera phone charge nhi ho rha, bahut inconvenience ho rha hai kya karu?",Mobile phone charging complain,gpt_4o_mini,"Agar aapka phone charge nahi ho raha hai, toh aap in steps ko follow karke dekh sakte hain:

1. **Charger aur Cable Check karein:** Charger aur USB cable ko achhe se check karein. Kya wo theek hain ya phir damaged hain? Kisi aur device se charger aur cable check karke dekhein.

2. **Charging Port Safai:** Phone ka charging port safai karein. Kabhi-kabhi dust ya lint charging port mein jam ho jata hai, jo charging mein rukawat bana sakta hai. Aap ek soft brush ya toothpick se gently saaf kar sakte hain.

3. **Power Source Badlein:** Kisi aur power outlet ya USB port se phone charge karne ki koshish karein. Shayad aapka current power source kaam nahi kar raha ho.

4. **Phone Restart Karein:** Kabhi-kabhi phone ko restart karne se bhi problem solve ho jati hai. Phone ko restart karke phir se charge karne ki koshish karein.

5. **Safe Mode Mein Boot Karein:** Agar aapka phone abhi bhi charge nahi ho raha hai, toh safe mode mein boot karke dekhein. Shayad koi third-party app problem create kar raha ho.

6. **Battery Health Check Karein:** Agar aapka phone kaafi purana hai, toh battery ki health check karne ki koshish",5,5,5,5,20,none
P013,customer support,roman,"Mera phone charge nhi ho rha, bahut inconvenience ho rha hai kya karu?",Mobile phone charging complain,gpt_4o,"Agar aapka phone charge nahi ho raha hai, toh aap kuch steps le sakte hain jo is samasya ko hal karne mein madadgar ho sakte hain:

1. **Charger aur Cable Check Karein**: 
   - Paka karein ki aap jo charger aur cable use kar rahe hain, woh sahi kaam kar rahe hain. Aap kisi doosre charger aur cable ka upayog karke dekh sakte hain.

2. **Power Source Check Karein**: 
   - Jis socket mein aap charger laga rahe hain, woh sahi se kaam kar raha hai ya nahi, iski jaanch karein. Aap kisi doosre power source ka upayog bhi karke dekh sakte hain.

3. **Charging Port Saf Karein**: 
   - Kabhi-kabhi dust ya lint ke wajah se charging port block ho jata hai. Isse saaf karne ke liye aap ek soft brush ya compressed air ka istemal kar sakte hain.

4. **Phone Restart Karein**: 
   - Aap apne phone ko restart karke dekh sakte hain. Kabhi-kabhi software glitch ke karan bhi charging mein problem hoti hai.

5. **Battery Status Check Karein**: 
   - Agar aapka phone kuch purana hai, toh battery degrade ho sakti hai. Aap kisi",5,5,5,5,20,none
P014,customer support,roman,"Yeh food item mai leakage gai, sara gir gya packet mai refund chahiye",Food packaging issue related query,qwen_3b_base,"I understand you're expressing that there was a leak in one of the food packaging items, and you'd like a full refund for it. It sounds like you might be dealing with an issue related to your purchase. Here are some steps you could take:

1. **Contact the Seller/Store:** First, reach out to the seller or store where you bought the food item. They will likely have procedures in place to handle such issues.

2. **Check Your Purchase Receipt/Certificate:** Make sure you have the receipt or certificate of purchase handy, as this can provide proof of your purchase and help resolve the issue.

3. **Follow the Store's Refund Policy:** If you bought from a physical store, check their refund policy. Some stores may offer refunds for damaged or defective products, while others might require you to return the item intact.

4. **Use Online Platforms:** If you bought online, you can also contact the platform (like Amazon, AliExpress, etc.) to see if they have a specific policy for handling defective products.

5. **Write a Detailed Description:** When contacting them, provide a detailed description of the issue and any photos to help them understand the problem better.

6. **Be Patient and Persistent:** Sometimes, resolving issues takes time. Be patient and persistent in following up until your issue is resolved.

If you need more specific advice about how to proceed, feel free to share more details, such as the type of product, where you bought it from, and",1,4,4,3,12,language_drift_english
P014,customer support,roman,"Yeh food item mai leakage gai, sara gir gya packet mai refund chahiye",Food packaging issue related query,gpt_4o_mini,Aapko refund ke liye customer service se sampark karna hoga. Aap unhe apni problem bata sakte hain aur agar aapke paas receipt ya koi proof hai to usse bhi share kar sakte hain. Aksar companies aise cases mein customer ko refund ya replacement offer karti hain. Aap unse yeh bhi pooch sakte hain ki refund process mein kitna samay lagega.,5,5,5,5,20,none
P014,customer support,roman,"Yeh food item mai leakage gai, sara gir gya packet mai refund chahiye",Food packaging issue related query,gpt_4o,"Aapko hui asuvidha ke liye khed hai. Refund ke liye, kripya apne kharidari ki jagah par sampark karein. Agar aapne online shopping ki thi, to website ya app par login karke customer service se sampark karein. Aapko apna order number aur kisi bhi tarah ka proof, jaise ki photo, dena ho sakta hai. Agar aapne store se kharidari ki thi, to receipt lekar store me jayein aur wahaan ke staff se madad lein.",5,5,5,5,20,none
